/home/inventree/env/lib/python3.10/site-packages/allauth/exceptions.py:9: UserWarning: allauth.exceptions is deprecated, use allauth.core.exceptions
  warnings.warn("allauth.exceptions is deprecated, use allauth.core.exceptions")
Watching for file changes with StatReloader
Watching for file changes with StatReloader
[14/Aug/2024 04:44:11] "GET /js/i18n/index.js HTTP/1.1" 200 3517
[14/Aug/2024 04:44:11] "GET /js/i18n/label.js HTTP/1.1" 200 6122
[14/Aug/2024 04:44:11] "GET /js/i18n/modals.js HTTP/1.1" 200 35708
[14/Aug/2024 04:44:11] "GET /js/i18n/model_renderers.js HTTP/1.1" 200 13696
[14/Aug/2024 04:44:11] "GET /js/i18n/part.js HTTP/1.1" 200 98572
[14/Aug/2024 04:44:11] "GET /js/i18n/order.js HTTP/1.1" 200 10032
[14/Aug/2024 04:44:12] "GET /js/i18n/purchase_order.js HTTP/1.1" 200 69557
[14/Aug/2024 04:44:12] "GET /js/i18n/return_order.js HTTP/1.1" 200 22378
[14/Aug/2024 04:44:12] "GET /js/i18n/report.js HTTP/1.1" 200 3743
[14/Aug/2024 04:44:12] "GET /js/i18n/sales_order.js HTTP/1.1" 200 68224
[14/Aug/2024 04:44:12] "GET /js/i18n/search.js HTTP/1.1" 200 10903
[14/Aug/2024 04:44:12] "GET /js/i18n/status_codes.js HTTP/1.1" 200 10398
[14/Aug/2024 04:44:12] "GET /js/i18n/stock.js HTTP/1.1" 200 96767
[14/Aug/2024 04:44:12] "GET /js/i18n/plugin.js HTTP/1.1" 200 8125
[14/Aug/2024 04:44:12] "GET /js/i18n/pricing.js HTTP/1.1" 200 31616
[14/Aug/2024 04:44:12] "GET /js/i18n/tables.js HTTP/1.1" 200 17163
[14/Aug/2024 04:44:12] "GET /js/i18n/news.js HTTP/1.1" 200 2115
[14/Aug/2024 04:44:12] "GET /js/i18n/table_filters.js HTTP/1.1" 200 22482
[14/Aug/2024 04:44:12] "GET /js/i18n/notification.js HTTP/1.1" 200 9030
[14/Aug/2024 04:44:12] "GET /api/part/category/tree/ HTTP/1.1" 200 21555
[14/Aug/2024 04:44:12] "GET /api/user/roles/ HTTP/1.1" 200 527
[14/Aug/2024 04:44:13] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 04:44:13] "GET /api/part/?search=&offset=0&limit=25&category=null&category_detail=true HTTP/1.1" 200 42215
[14/Aug/2024 04:44:13] "GET /static/img/favicon/favicon-32x32.png HTTP/1.1" 304 0
[14/Aug/2024 04:44:14] "GET /static/img/blank_image.thumbnail.png HTTP/1.1" 304 0
[14/Aug/2024 04:48:23] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 04:49:03] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 04:49:03] "GET /part/10336/ HTTP/1.1" 200 73901
[14/Aug/2024 04:49:03] "GET /static/bootstrap-table/bootstrap-table.min.css HTTP/1.1" 304 0
[14/Aug/2024 04:49:03] "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
